Date,Category,IncidntNum
02/01/2014 12:00:00 AM,BURGLARY,506
02/01/2007 12:00:00 AM,VANDALISM,531
07/01/2012 12:00:00 AM,BURGLARY,522
07/01/2013 12:00:00 AM,LARCENY/THEFT,3318
08/01/2010 12:00:00 AM,VANDALISM,694
10/01/2011 12:00:00 AM,BURGLARY,421
07/01/2006 12:00:00 AM,VEHICLE THEFT,673
08/01/2011 12:00:00 AM,LARCENY/THEFT,2148
12/01/2014 12:00:00 AM,STOLEN PROPERTY,90
12/01/2012 12:00:00 AM,STOLEN PROPERTY,81
07/01/2005 12:00:00 AM,ARSON,23
08/01/2009 12:00:00 AM,ARSON,19
12/01/2007 12:00:00 AM,ARSON,11
10/01/2008 12:00:00 AM,STOLEN PROPERTY,63
02/01/2013 12:00:00 AM,VEHICLE THEFT,470
04/01/2005 12:00:00 AM,VANDALISM,581
09/01/2010 12:00:00 AM,VEHICLE THEFT,403
01/01/2009 12:00:00 AM,LARCENY/THEFT,1932
11/01/2010 12:00:00 AM,VEHICLE THEFT,398
09/01/2006 12:00:00 AM,LARCENY/THEFT,2296
07/01/2008 12:00:00 AM,ARSON,21
12/01/2005 12:00:00 AM,STOLEN PROPERTY,51
03/01/2012 12:00:00 AM,VEHICLE THEFT,451
05/01/2006 12:00:00 AM,STOLEN PROPERTY,53
12/01/2013 12:00:00 AM,VANDALISM,597
01/01/2015 12:00:00 AM,STOLEN PROPERTY,82
08/01/2013 12:00:00 AM,VANDALISM,558
06/01/2006 12:00:00 AM,STOLEN PROPERTY,49
07/01/2015 12:00:00 AM,ARSON,23
10/01/2013 12:00:00 AM,STOLEN PROPERTY,120
06/01/2008 12:00:00 AM,STOLEN PROPERTY,39
11/01/2007 12:00:00 AM,ARSON,23
08/01/2014 12:00:00 AM,VEHICLE THEFT,645
05/01/2007 12:00:00 AM,VEHICLE THEFT,376
06/01/2012 12:00:00 AM,LARCENY/THEFT,2509
11/01/2015 12:00:00 AM,VANDALISM,561
03/01/2005 12:00:00 AM,ARSON,19
10/01/2009 12:00:00 AM,LARCENY/THEFT,2246
07/01/2010 12:00:00 AM,LARCENY/THEFT,2121
06/01/2007 12:00:00 AM,BURGLARY,448
01/01/2011 12:00:00 AM,STOLEN PROPERTY,77
03/01/2012 12:00:00 AM,LARCENY/THEFT,2119
11/01/2012 12:00:00 AM,VANDALISM,648
10/01/2006 12:00:00 AM,BURGLARY,508
02/01/2006 12:00:00 AM,VANDALISM,602
10/01/2014 12:00:00 AM,BURGLARY,553
05/01/2010 12:00:00 AM,STOLEN PROPERTY,59
03/01/2011 12:00:00 AM,BURGLARY,374
07/01/2014 12:00:00 AM,STOLEN PROPERTY,91
03/01/2010 12:00:00 AM,VANDALISM,609
10/01/2010 12:00:00 AM,STOLEN PROPERTY,59
11/01/2008 12:00:00 AM,VANDALISM,602
06/01/2009 12:00:00 AM,VANDALISM,537
07/01/2011 12:00:00 AM,ARSON,20
03/01/2006 12:00:00 AM,STOLEN PROPERTY,64
09/01/2008 12:00:00 AM,ARSON,28
08/01/2014 12:00:00 AM,LARCENY/THEFT,3650
11/01/2006 12:00:00 AM,ARSON,11
03/01/2008 12:00:00 AM,ARSON,34
05/01/2007 12:00:00 AM,LARCENY/THEFT,2125
06/01/2012 12:00:00 AM,VEHICLE THEFT,497
09/01/2012 12:00:00 AM,ARSON,25
04/01/2008 12:00:00 AM,VANDALISM,664
05/01/2013 12:00:00 AM,BURGLARY,508
10/01/2009 12:00:00 AM,VEHICLE THEFT,416
07/01/2010 12:00:00 AM,VEHICLE THEFT,388
11/01/2014 12:00:00 AM,BURGLARY,462
04/01/2007 12:00:00 AM,VANDALISM,612
01/01/2014 12:00:00 AM,STOLEN PROPERTY,86
07/01/2007 12:00:00 AM,VANDALISM,738
04/01/2015 12:00:00 AM,ARSON,30
03/01/2013 12:00:00 AM,VANDALISM,657
10/01/2005 12:00:00 AM,VANDALISM,655
07/01/2013 12:00:00 AM,VEHICLE THEFT,495
01/01/2013 12:00:00 AM,STOLEN PROPERTY,103
07/01/2006 12:00:00 AM,LARCENY/THEFT,2209
08/01/2007 12:00:00 AM,STOLEN PROPERTY,32
08/01/2011 12:00:00 AM,VEHICLE THEFT,370
05/01/2012 12:00:00 AM,ARSON,17
09/01/2014 12:00:00 AM,BURGLARY,457
04/01/2013 12:00:00 AM,STOLEN PROPERTY,102
08/01/2008 12:00:00 AM,VANDALISM,582
12/01/2010 12:00:00 AM,ARSON,6
02/01/2010 12:00:00 AM,VANDALISM,588
06/01/2015 12:00:00 AM,ARSON,31
10/01/2007 12:00:00 AM,STOLEN PROPERTY,54
06/01/2011 12:00:00 AM,STOLEN PROPERTY,69
03/01/2015 12:00:00 AM,STOLEN PROPERTY,92
01/01/2010 12:00:00 AM,BURGLARY,421
09/01/2010 12:00:00 AM,LARCENY/THEFT,2180
01/01/2009 12:00:00 AM,VEHICLE THEFT,545
10/01/2015 12:00:00 AM,ARSON,28
09/01/2005 12:00:00 AM,VANDALISM,559
09/01/2007 12:00:00 AM,ARSON,27
11/01/2010 12:00:00 AM,LARCENY/THEFT,2179
09/01/2006 12:00:00 AM,VEHICLE THEFT,570
04/01/2012 12:00:00 AM,BURGLARY,536
02/01/2013 12:00:00 AM,LARCENY/THEFT,2677
03/01/2007 12:00:00 AM,STOLEN PROPERTY,46
01/01/2006 12:00:00 AM,BURGLARY,527
03/01/2006 12:00:00 AM,BURGLARY,576
05/01/2014 12:00:00 AM,LARCENY/THEFT,2828
03/01/2009 12:00:00 AM,VANDALISM,623
10/01/2010 12:00:00 AM,BURGLARY,393
06/01/2005 12:00:00 AM,VANDALISM,622
02/01/2015 12:00:00 AM,LARCENY/THEFT,3284
02/01/2005 12:00:00 AM,VANDALISM,462
05/01/2010 12:00:00 AM,BURGLARY,492
10/01/2014 12:00:00 AM,STOLEN PROPERTY,106
02/01/2008 12:00:00 AM,VANDALISM,546
07/01/2014 12:00:00 AM,BURGLARY,499
03/01/2011 12:00:00 AM,STOLEN PROPERTY,58
08/01/2015 12:00:00 AM,ARSON,16
10/01/2006 12:00:00 AM,STOLEN PROPERTY,48
12/01/2008 12:00:00 AM,LARCENY/THEFT,1961
10/01/2012 12:00:00 AM,LARCENY/THEFT,3150
02/01/2009 12:00:00 AM,LARCENY/THEFT,1846
08/01/2006 12:00:00 AM,ARSON,24
09/01/2015 12:00:00 AM,VANDALISM,663
01/01/2014 12:00:00 AM,BURGLARY,618
11/01/2014 12:00:00 AM,STOLEN PROPERTY,80
05/01/2008 12:00:00 AM,ARSON,18
02/01/2012 12:00:00 AM,VEHICLE THEFT,474
05/01/2013 12:00:00 AM,STOLEN PROPERTY,100
02/01/2011 12:00:00 AM,VANDALISM,590
08/01/2012 12:00:00 AM,ARSON,17
04/01/2013 12:00:00 AM,BURGLARY,540
03/01/2014 12:00:00 AM,VANDALISM,603
11/01/2005 12:00:00 AM,LARCENY/THEFT,1996
09/01/2014 12:00:00 AM,STOLEN PROPERTY,84
01/01/2005 12:00:00 AM,VANDALISM,493
05/01/2009 12:00:00 AM,LARCENY/THEFT,1988
08/01/2007 12:00:00 AM,BURGLARY,474
09/01/2013 12:00:00 AM,VEHICLE THEFT,699
01/01/2013 12:00:00 AM,BURGLARY,507
04/01/2010 12:00:00 AM,LARCENY/THEFT,1788
01/01/2006 12:00:00 AM,STOLEN PROPERTY,55
03/01/2007 12:00:00 AM,BURGLARY,426
04/01/2009 12:00:00 AM,LARCENY/THEFT,2050
01/01/2007 12:00:00 AM,ARSON,23
04/01/2012 12:00:00 AM,STOLEN PROPERTY,62
03/01/2015 12:00:00 AM,BURGLARY,513
